I take things seriously	1
I do not like to joke around	1
I tend to be honest, fair, and impartial	1
I have been accused of being a perfectionist	1
I believe ideals can make us better people	1
Having a mission is key to making life worthwhile	1
Being well-organized helps me get more done	1
I like to double-check my work before moving on	1
I have a solid sense of what's right and wrong	1
I sometimes try to help people who really want to be left alone	1
I will sometimes take responsibility when others won't	1
I hate to make mistakes	1
I care about other people	2
I tend to be friendly	2
I like it when people respond positively to my encouragement	2
I want to help the homeless	2
I want to help stray pets find their old home or a new one	2
I am thoughtful and often generous	2
At times I care more for others than I do for myself	2
It feels good to have people over and entertain them	2
It's nice to win people over to my side	2
I enjoy expressing my feelings and tend to "wear my heart on my sleeve"	2
I like to keep up with how my friends are doing	2
It warms my heart to think I helped someone feel better	2
I am competent and efficient	3
I love it when things are going well and I'm in the flow	3
I do my best to make a good first impression	3
Feeling successful is one of the best feelings I've ever had	3
I mind my manners and am very polite	3
I tend to hide my self-doubt and insecurities	3
I can be competitive at times	3
I want to be the best at what I do	3
I am not afraid to cut corners occasionally	3
I work hard and expect my efforts to be appreciated	3
When things aren't going well, I do not hesitate to change course	3
I can be a workaholic and am happiest when working towards a goal	3
I can be difficult to get along with at times	4
I sometimes enjoy being somewhat of a contrarian	4
I don't mind sulking and wallowing in negativity when I feel down	4
Sometimes I feel lonely and misunderstood	4
It's nice to have some control over the work I am doing	4
I can be vocal and temperamental when things aren't going my way	4
I have a vivid imagination	4
I am a romantic and long to find my soul mate	4
Sometimes I give up too easily	4
I am not afraid to break the rules	4
I tend to do my best work when left alone	4
I am in touch with my values and needs, and they drive my decisions	4
I am thorough and detail-oriented	5
I love to dive deeply into interesting topics	5
I am a private person	5
In groups I tend to be silent and invisible	5
Rational decisions are best, and they require the absolute truth	5
People sometimes tell me I should get out more	5
Given enough time, I can solve highly complex problems	5
Normalcy is in the eye of the beholder	5
I am very curious and tend to know about a variety of things	5
I have a very active internal dialogue	5
I sometimes lose track of time while getting lost in my work	5
Once I get going on something, it can be hard to change course	5
I tend to be emotional, but can be very logical at times	6
I am careful and fearful of embarassment for making mistakes	6
In an effort to avoid criticism, I often conform to others' expectations	6
It's important to know the rules, even if you are going to break them	6
I feel that only a very few people are truly worthy of my admiration	6
I tend to be self-conscious, but do my best to hide it	6
I insist on making my own decisions, but do so only when I'm good and ready	6
I doubt myself -- and most everyone else as well	6
I tend to be suspicious of others' hidden motives	6
I am persistent: "when the going gets tough, the tough get going"	6
I have a lot of anxiety	6
Despite my best efforts, I occasionally fall for scams	6
I enjoy traveling and experiencing different cultures	7
I am an active person and have a busy schedule	7
"Variety is the spice of life"	7
I value excitement and am not afraid to take risks	7
Contrary to what the "experts" say, I am able to multitask efficiently	7
I cannot stand being bored	7
I am adventurous and love to try new things	7
When I have had enough of something, I move on to something else	7
I would rather brainstorm ideas than actually implement them	7
I rebound quickly from bad experiences	7
I am easily distracted	7
I have trouble saving money	7
I am an independent person	8
I know how to get the things I need	8
I sometimes feel protective of my friends and family	8
I tend to look down on weak people	8
In a fight, I will not surrender until I absolutely have to	8
Only my very closes friends have seen my vulnerable side	8
I can be brutally honest at times	8
"What doesn't kill you, makes you stronger"	8
I like to push myself and others beyond our comfort zones	8
My skin is thicker than most others'	8
I like to push myself to the limits of my capabilities	8
I tend to see life from a zero-sum, winner-take-all perspective	8
People often seem to know that it's safe to confide in me	9
I am at peace with myself and most other people	9
It is important for me to be comfortable, both mentally and physically	9
I am adaptable and don't mind following another person's lead	9
I am happy with who I am	9
I tend to be flexible, but can be a bit stubborn at times	9
In most situations I am cool, calm, and collected	9
"The wealthiest person is a pauper at times, compared to a man with a satisfied mind"	9
It's pointless to stress out about things you can't change	9
It's easy for me to understand others' viewpoints	9
I tend to "walk on the sunnyside of life"	9
I know for a fact that "it's always darkest just before the dawn"	9
